store_name,discount,category
Ulta Beauty,9.00%,Beauty & Lifestyle
Under Armour® US,10.80%,"Fashion, Leisure & Sports"
Uno's Pizzeria & Grill US,13.50%,Food & Drink
Vic & Anthony’s Restaurant,10.80%,Food & Drink
Village Inn-US,11.48%,Food & Drink
Walmart SB US,2.70%,"Department Stores, Food & Drink, Supermarkets"
Walmart US,1.35%,"Department Stores, Food & Drink, Supermarkets"
Wayfair US,8.64%,"Department Stores, Home & DIY"
West Elm US,7.65%,Home & DIY
Westgate Resorts US,14.83%,Experiences
WetGo® Car Wash locations US,2.88%,Food & Drink
White House Black Market-US,8.42%,Fashion
Williams-Sonoma US,7.65%,Home & DIY
Willie G's US,9.18%,Food & Drink
Wine.com US,7.65%,Food & Drink
Wolferman’s,11.70%,"Department Stores, Food & Drink"
Xbox US,9.36%,"Electricals, Entertainment"
Yak & Yeti Restaurant US,10.80%,Food & Drink
Yankee Candle®,11.70%,"Beauty & Lifestyle, Home & DIY"
Yard House,9.00%,Food & Drink
Your Gift Choice-US,5.36%,"Department Stores, Supermarkets"
Zappos.com,9.00%,"Fashion, Leisure & Sports"
